water_year,month,day,calendar_year,hour,sme2_ta_C,smf1_ta_C,smg1_ta_C,smg2_ta_C,smm1_ta_C,smm2_ta_C
2013,1,25,2013,5,0.1,-0.4,0.2,0.3,0.1,1.2
2011,11,19,2010,13,0.2,1.8,2.1,1.0,1.6,0.7
2010,1,20,2010,14,-0.5,1.1,2.1,-0.1,1.6,-1.7
2012,2,18,2012,11,-4.6,-3.4,-3.1,-3.9,-3.2,-4.3
2009,8,13,2009,23,14.1,12.6,13.8,14.9,10.2,14.0
2009,1,8,2009,3,3.4,-1.6,-0.9,4.4,-3.0,2.6
2010,8,20,2010,13,26.5,29.2,29.0,27.4,28.6,25.5
2011,9,21,2011,1,13.8,7.8,7.2,13.4,6.5,14.6
2010,11,12,2009,0,-1.0,-0.2,-0.0,-0.7,0.0,-1.8
2011,6,3,2011,14,11.8,12.3,13.6,11.3,13.1,11.5
2010,1,23,2010,0,-5.0,-3.9,-3.6,-4.6,-3.5,-5.9
2009,10,8,2008,9,3.9,3.3,4.8,4.2,3.8,2.3
2012,3,30,2012,17,9.0,9.3,10.9,10.1,10.2,9.7
2009,6,5,2009,8,12.8,13.8,14.3,13.7,13.5,11.9
2008,7,25,2008,23,22.8,14.0,14.2,21.4,13.1,22.1
2011,11,26,2010,14,0.7,1.6,2.5,0.9,1.8,0.5
2012,2,18,2012,1,-0.5,-3.2,-2.9,-0.0,-3.9,-0.0
2009,7,3,2009,13,24.5,25.9,26.0,25.2,24.9,23.5
2013,3,7,2013,7,-7.5,-10.7,-7.9,-8.1,-11.1,-5.2
2012,3,14,2012,3,1.7,1.6,2.2,2.6,1.9,2.3
2010,1,12,2010,13,4.6,6.4,7.2,5.5,7.0,4.0
2010,8,2,2010,12,26.1,28.9,28.5,26.7,28.5,25.4
2010,7,10,2010,22,20.0,17.0,19.9,20.1,15.0,20.4
2008,5,26,2008,22,6.1,6.9,7.4,7.1,6.4,6.8
2013,10,2,2012,6,13.9,5.2,5.4,13.1,4.7,14.8
2009,4,28,2009,19,0.5,1.7,2.0,1.4,1.1,-0.5
2012,9,15,2012,16,24.7,26.3,27.1,25.4,26.8,26.0
2010,6,22,2010,13,16.7,19.3,19.2,17.7,18.8,16.0
2013,7,2,2013,6,24.0,18.3,20.7,23.1,17.7,25.4
2012,5,3,2012,19,8.3,8.8,10.0,9.3,9.7,8.9
2008,5,16,2008,4,12.2,5.5,5.1,11.6,4.8,13.9
2010,11,7,2009,0,2.0,2.3,2.7,2.4,2.0,1.2
2011,11,29,2010,0,-9.5,-16.8,-17.2,-10.5,-17.1,-9.9
2009,12,3,2008,15,2.8,4.9,4.4,3.6,3.1,1.8
2010,11,17,2009,20,7.1,0.9,1.4,7.4,-0.2,6.6
2013,12,28,2012,6,-10.0,-14.0,-14.0,-9.6,-13.2,-8.4
2010,3,19,2010,0,-1.0,-3.0,-3.4,-0.3,0.2,-1.5
2012,11,22,2011,13,3.9,5.2,6.0,4.9,5.8,4.5
2012,5,13,2012,16,22.7,23.7,25.1,23.3,24.2,22.9
2012,12,31,2011,4,-7.3,-6.0,-5.7,-6.4,-5.7,-6.8
2012,5,19,2012,14,16.0,18.5,18.8,17.4,18.2,16.6
2008,12,28,2007,23,-6.4,-5.3,-5.3,-5.8,-5.4,-6.0
2009,7,27,2009,10,18.7,21.6,21.0,19.7,20.5,17.6
2008,11,7,2007,2,9.8,-0.1,-0.4,8.5,-0.8,11.0
2013,7,19,2013,6,21.7,17.7,21.1,21.4,21.7,23.2
2010,4,26,2010,5,5.1,-0.6,0.0,4.2,-1.6,4.6
2012,1,23,2012,13,-0.3,1.9,2.3,1.0,2.1,0.5
2012,8,10,2012,23,21.4,14.0,16.0,18.6,13.7,22.9
2010,12,3,2009,10,-6.0,-8.4,-4.7,-6.1,-7.7,-7.4
2010,11,13,2009,14,-1.7,-0.4,0.2,-1.6,-0.7,-2.8
2011,11,20,2010,1,-5.1,-3.9,-3.7,-4.4,-3.8,-4.7
2008,1,17,2008,0,-11.9,-18.5,-18.1,-13.2,-17.1,-12.9
2011,12,27,2010,0,-4.3,-4.4,-4.3,-3.5,-4.5,-3.8
2013,7,11,2013,8,15.2,15.1,15.0,15.8,15.7,16.5
2013,4,2,2013,11,6.9,9.4,9.5,7.7,9.5,7.9
2010,5,18,2010,18,7.9,9.6,10.1,8.6,10.0,7.1
2009,9,25,2009,18,24.3,21.9,24.0,25.1,22.5,23.6
2013,5,27,2013,1,2.5,-1.0,-0.6,1.9,-1.3,3.7
2010,4,8,2010,16,0.1,2.1,2.3,0.8,2.4,-0.7
2012,8,15,2012,15,28.6,30.7,31.0,29.2,30.8,29.5
2008,10,23,2007,15,17.4,17.9,19.2,17.1,17.6,17.0
2011,6,19,2011,4,5.0,6.1,6.4,5.7,6.5,5.3
2008,8,11,2008,8,15.0,13.7,16.5,15.7,15.3,14.8
2008,5,25,2008,19,8.9,10.6,10.8,9.9,10.4,9.7
2013,9,2,2013,8,17.5,17.8,18.4,17.5,18.2,18.1
2010,8,2,2010,13,27.1,29.6,29.4,28.1,29.0,26.2
2008,10,9,2007,20,14.3,7.6,7.7,14.1,6.6,15.5
2013,1,20,2013,22,2.6,-8.3,-8.4,0.3,-7.2,3.8
2010,4,30,2010,16,2.9,5.0,5.3,3.8,5.3,2.4
2010,7,29,2010,13,28.3,29.6,29.8,28.2,29.9,27.1
2008,5,26,2008,20,8.1,9.0,9.4,9.2,9.3,8.8
2010,1,1,2010,18,0.5,0.4,2.1,1.4,0.3,-0.0
2011,2,5,2011,6,1.0,2.2,2.7,1.9,2.5,1.4
2008,1,6,2008,10,-6.5,-4.3,-4.0,-5.2,-4.4,-5.9
2009,11,22,2008,4,0.6,-4.3,-4.6,-0.2,-5.9,0.3
2011,10,26,2010,10,-3.1,-1.4,-1.3,-2.2,-1.5,-2.7
2011,10,6,2010,6,9.9,11.6,11.6,10.9,11.8,10.6
2009,7,5,2009,20,23.5,21.4,22.7,24.7,20.9,22.9
2010,12,21,2009,4,0.3,-2.8,-2.6,0.6,-2.9,-0.4
2008,7,9,2008,11,25.2,27.6,27.4,26.1,27.1,25.4
2009,4,24,2009,13,4.0,6.1,5.7,5.0,5.0,3.1
2010,5,11,2010,7,-0.8,0.2,0.5,-0.6,0.5,-1.9
2008,4,6,2008,6,-3.2,-2.2,-2.2,-2.6,-2.0,-2.9
2010,10,16,2009,11,15.1,16.8,17.0,15.4,16.7,14.1
2008,3,5,2008,14,-0.9,1.8,2.1,0.1,1.1,-0.9
2011,12,21,2010,6,-4.7,-8.8,-4.9,-4.4,-9.7,-3.7
2012,10,17,2011,19,7.2,3.5,5.3,6.8,2.8,9.2
2012,12,12,2011,17,-3.5,-2.7,-2.1,-2.7,-1.9,-2.8
2013,12,10,2012,21,0.7,1.5,2.2,1.1,2.2,1.5
2011,1,13,2011,15,-0.3,0.1,0.5,0.3,0.8,-0.2
2009,1,31,2009,20,-2.0,-6.6,-7.3,-1.7,-7.5,-3.1
2009,7,30,2009,23,19.6,16.9,17.7,18.9,15.2,19.0
2013,10,27,2012,6,0.5,-4.6,-3.7,-0.5,-5.3,1.2
2008,7,10,2008,10,24.6,26.6,26.6,25.5,26.6,24.6
2012,3,4,2012,4,-0.1,-6.2,-5.7,-0.7,-6.0,1.6
2010,2,18,2010,21,-3.9,-4.9,-2.7,-3.6,-4.4,-3.9
2010,9,29,2010,21,18.3,17.3,18.6,18.1,17.9,19.6
2008,4,29,2008,22,-1.2,0.5,0.7,-0.3,0.3,-0.6
2012,12,13,2011,20,-4.7,-9.2,-9.1,-4.3,-9.9,-4.1
2013,3,11,2013,16,4.9,6.9,8.0,6.0,7.2,6.2
2010,8,19,2010,13,23.9,27.0,26.5,25.1,26.5,23.0
2008,4,19,2008,5,-1.7,-1.6,-2.1,-1.7,-2.0,-1.5
2013,12,3,2012,10,-0.3,-2.4,1.4,0.6,-1.7,1.4
2012,3,10,2012,9,7.6,3.2,8.4,9.8,6.8,8.4
